season,team_name,team_abbr,scheduled_games,opponent_wins_2025,opponent_losses_2025,opponent_ties_2025,opponent_record_games,opponent_win_pct,published_win_pct,rank_hardest_to_easiest,methodology,primary_source_url,crosscheck_source_url,primary_source_published_at,researched_at,notes
2026,Denver Broncos,DEN,17,148,141,0,289,0.512111,0.512,15,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Washington Commanders,WAS,17,144,143,2,289,0.501730,0.502,16,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,New York Giants,NYG,17,143,144,2,289,0.498270,0.498,17,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,San Francisco 49ers,SF,17,143,145,1,289,0.496540,0.497,18,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Pittsburgh Steelers,PIT,17,143,146,0,289,0.494810,0.495,19,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Dallas Cowboys,DAL,17,142,146,1,289,0.493080,0.493,20,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Tampa Bay Buccaneers,TB,17,141,146,2,289,0.491349,0.491,21,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Jacksonville Jaguars,JAX,17,141,147,1,289,0.489619,0.490,22,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Philadelphia Eagles,PHI,17,138,149,2,289,0.480969,0.481,23,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Baltimore Ravens,BAL,17,138,150,1,289,0.479239,0.479,24,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Tennessee Titans,TEN,17,137,151,1,289,0.475779,0.476,25,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Houston Texans,HOU,17,136,151,2,289,0.474048,0.474,26,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Detroit Lions,DET,17,134,153,2,289,0.467128,0.467,27,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Atlanta Falcons,ATL,17,134,154,1,289,0.465398,0.465,28,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Indianapolis Colts,IND,17,134,154,1,289,0.465398,0.465,28,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Cincinnati Bengals,CIN,17,130,159,0,289,0.449827,0.450,30,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,New Orleans Saints,NO,17,125,163,1,289,0.434256,0.434,31,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Cleveland Browns,CLE,17,124,165,0,289,0.429066,0.429,32,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
